student_id,study_hours,attendance_percentage,previous_score,pass_or_fail
1,8.1,68,64,Pass
2,19.1,94,27,Pass
3,14.9,78,72,Pass
4,12.4,42,74,Fail
5,4.0,71,51,Fail
6,4.0,49,70,Fail
7,2.1,49,63,Fail
8,17.5,58,89,Pass
9,12.4,85,37,Pass
10,14.5,73,41,Pass
11,1.4,99,56,Fail
12,19.4,72,75,Pass
13,16.8,62,78,Pass
14,5.0,94,22,Fail
15,4.5,67,47,Fail
16,4.5,71,93,Pass
17,6.8,89,54,Pass
18,11.0,46,80,Fail
19,9.2,68,73,Pass
20,6.5,47,82,Fail
21,12.6,40,98,Pass
22,3.7,96,26,Fail
23,6.6,94,95,Pass
24,8.0,42,68,Fail
25,9.7,63,50,Fail
26,15.9,62,77,Pass
27,4.8,98,80,Pass
28,10.8,47,43,Fail
29,12.3,93,39,Pass
30,1.9,96,56,Fail
31,12.5,86,23,Pass
32,4.2,76,39,Fail
33,2.2,42,79,Fail
34,19.0,90,43,Pass
35,19.3,72,69,Pass
36,16.4,67,68,Pass
37,6.8,86,70,Pass
38,2.9,47,55,Fail
39,14.0,73,85,Pass
40,9.4,74,98,Pass
41,3.3,71,53,Fail
42,10.4,63,55,Fail
43,1.7,53,25,Fail
44,18.3,71,58,Pass
45,5.9,95,61,Pass
46,13.6,85,77,Pass
47,6.9,82,31,Fail
48,10.9,55,22,Fail
49,11.4,43,37,Fail
50,4.5,91,59,Pass
51,19.4,76,40,Pass
52,15.7,93,34,Pass
53,18.9,60,45,Pass
54,18.0,53,27,Pass
55,12.4,70,61,Pass
56,18.5,94,63,Pass
57,2.7,87,33,Fail
58,4.7,57,97,Fail
59,1.9,46,21,Fail
60,7.2,49,56,Fail
61,8.4,46,88,Fail
62,6.2,72,57,Fail
63,16.7,62,60,Pass
64,7.8,60,81,Pass
65,6.3,58,79,Fail
66,11.3,87,33,Pass
67,3.7,58,21,Fail
68,16.2,75,89,Pass
69,2.4,68,36,Fail
70,19.8,99,47,Pass
71,15.7,57,85,Pass
72,4.8,41,54,Fail
73,1.1,40,24,Fail
74,16.5,86,84,Pass
75,14.4,44,59,Fail
76,14.9,59,95,Pass
77,15.7,50,75,Pass
78,2.4,81,55,Fail
79,7.8,41,64,Fail
80,3.2,42,42,Fail
81,17.4,62,66,Pass
82,12.8,94,50,Pass
83,7.3,51,30,Fail
84,2.2,59,29,Fail
85,6.9,44,86,Fail
86,7.2,76,33,Fail
87,14.9,77,99,Pass
88,13.1,69,93,Pass
89,17.9,48,29,Fail
90,10.0,73,95,Pass
91,3.3,92,20,Fail
92,14.6,83,24,Pass
93,15.5,74,39,Pass
94,11.7,91,27,Pass
95,15.6,97,62,Pass
96,10.4,61,95,Pass
97,10.9,83,20,Pass
98,9.1,63,76,Pass
99,1.5,56,83,Fail
100,3.0,49,47,Fail
101,1.6,69,56,Fail
102,13.1,95,66,Pass
103,7.0,98,95,Pass
104,10.7,85,56,Pass
105,18.2,62,68,Pass
106,5.7,71,63,Fail
107,8.8,56,75,Fail
108,15.4,89,47,Pass
109,5.3,90,98,Pass
110,2.5,56,25,Fail
111,6.5,53,80,Fail
112,4.1,48,39,Fail
113,18.7,79,97,Pass
